,county,population,summer_2020_cases,summer_2020_doses_administered,summer_2020_pfizer_doses,summer_2020_moderna_doses,summer_2020_jj_doses,summer_2020_partially_vaccinated,summer_2020_at_least_one_dose,summer_2020_fully_vaccinated,summer_2020_partially_vaccinated_percent,summer_2020_at_least_one_dose_percent,summer_2020_fully_vaccinated_percent,summer_2020_Unemployment_Rate,democrat_votes_percent,green_votes_percent,republican_votes_percent,libertarian_votes_percent,other_votes_percent
0,Alameda,1685886,14483,78,74,4,0,41,42,37,1.64e-05,2.56e-05,2.25e-05,0.11965496,0.802081629,0.0060565919999999995,0.177008584,0.008174582,0.006678614
1,Alpine,1117,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.152173913,0.642375169,0.005398111,0.32928475,0.020242915,0.002699055
2,Amador,38531,266,0,0,0,0,0,0,0,0.0,0.0,0.0,0.11589174199999999,0.365539813,0.004931851,0.6090835720000001,0.015647418,0.004797346
3,Butte,217769,2673,16,7,9,0,12,12,4,4.4e-05,5.28e-05,1.76e-05,0.111725664,0.494052868,0.004967374,0.47743616899999997,0.01738091,0.006162679
4,Calaveras,44289,256,1,1,0,0,1,1,0,2.2100000000000002e-05,2.2100000000000002e-05,0.0,0.091078935,0.36982771299999995,0.004601679,0.608084229,0.013216021000000001,0.004270358
5,Colusa,22593,440,0,0,0,0,0,0,0,0.0,0.0,0.0,0.13442939999999998,0.406858435,0.0031403090000000004,0.57266675,0.010174601,0.007159905
6,Contra Costa,1160099,13357,107,99,8,0,57,58,50,3.09e-05,5.12e-05,4.41e-05,0.11943620199999999,0.716281678,0.004503575,0.262984332,0.010520956000000001,0.005709459
7,Del Norte,27558,87,0,0,0,0,0,0,0,0.0,0.0,0.0,0.110869565,0.40836462100000004,0.006810443,0.564131669,0.013097005,0.007596263000000001
8,El Dorado,193098,943,10,6,4,0,5,5,5,1.6100000000000002e-05,2.68e-05,2.68e-05,0.09866962300000001,0.44439948700000004,0.003960089,0.532356511,0.016107232,0.00317668
9,Fresno,1032227,21078,8,6,2,0,6,6,2,5.11e-06,6.13e-06,2.04e-06,0.129931973,0.5289559,0.004039275,0.45068878700000004,0.011046348000000001,0.005269691
10,Glenn,29348,442,4,2,2,0,2,2,2,7.170000000000001e-05,7.170000000000001e-05,7.170000000000001e-05,0.101556102,0.353633708,0.003009649,0.625210233,0.011330442,0.006815969
11,Humboldt,134098,357,1,1,0,0,1,1,0,7.37e-06,7.37e-06,0.0,0.10652921,0.650291242,0.009078628,0.316226777,0.016443211,0.007960141
12,Imperial,191649,3798,2,0,2,0,2,2,0,1.11e-05,1.11e-05,0.0,0.26507713899999996,0.6111414620000001,0.004123857,0.367393335,0.006873094000000001,0.010468251999999999
13,Inyo,18453,162,0,0,0,0,0,0,0,0.0,0.0,0.0,0.093413174,0.4886124,0.0047448329999999995,0.487136229,0.013496415,0.006010122
14,Kern,927251,22756,3,3,0,0,2,2,1,2.26e-06,2.26e-06,1.13e-06,0.151962075,0.436847346,0.003517943,0.538775992,0.012912228000000001,0.007946491
15,Kings,156444,5224,0,0,0,0,0,0,0,0.0,0.0,0.0,0.124113475,0.42632406899999997,0.002849912,0.5488246960000001,0.013770776,0.008230546
16,Lake,64871,502,0,0,0,0,0,0,0,0.0,0.0,0.0,0.109791217,0.518568652,0.007184505999999999,0.455469943,0.012980702,0.005796196
17,Lassen,30065,502,0,0,0,0,0,0,0,0.0,0.0,0.0,0.079569892,0.23350296199999998,0.002586135,0.74831067,0.011762743,0.0038374909999999997
18,Los Angeles,10257557,152710,505,433,69,3,317,323,186,1.93e-05,3.2e-05,1.84e-05,0.178748553,0.710278084,0.005079303,0.268628506,0.008313547,0.00770056
19,Madera,160089,3671,1,1,0,0,0,0,0,0.0,0.0,0.0,0.12355848400000001,0.431176952,0.004038562,0.54675054,0.011557359,0.006476588
20,Marin,260800,3734,9,9,0,0,5,5,4,1.15e-05,1.92e-05,1.5399999999999998e-05,0.09055727599999999,0.823256112,0.004646089,0.15794134599999998,0.009856895,0.004299557
21,Mariposa,17795,44,0,0,0,0,0,0,0,0.0,0.0,0.0,0.11277173900000001,0.39766537,0.003793774,0.578793774,0.015077821000000002,0.004669261
22,Mendocino,88439,846,1,0,1,0,1,1,0,1.1400000000000001e-05,1.1400000000000001e-05,0.0,0.10884353699999999,0.664097831,0.009090909,0.306114444,0.013636364,0.007060451999999999
23,Merced,287420,7185,5,5,0,0,3,3,2,1.11e-05,1.11e-05,7.43e-06,0.13898917,0.541014201,0.004284736,0.435066369,0.01039159,0.009243104
24,Modoc,9475,28,0,0,0,0,0,0,0,0.0,0.0,0.0,0.07788162,0.264793921,0.0034538340000000002,0.71586461,0.008979968,0.0069076680000000005
25,Mono,13961,120,0,0,0,0,0,0,0,0.0,0.0,0.0,0.137376238,0.595577323,0.006233304,0.372959335,0.018699911,0.0065301280000000005
26,Monterey,448732,7933,1,0,1,0,1,1,0,2.31e-06,2.31e-06,0.0,0.10396716800000001,0.6951617529999999,0.004569218,0.282443586,0.011102774,0.0067226690000000006
27,Napa,139652,1291,2,2,0,0,1,1,1,7.12e-06,7.12e-06,7.12e-06,0.106321839,0.69046431,0.004296604,0.286569647,0.012668053,0.006001386
28,Nevada,98710,400,2,2,0,0,1,1,1,1.01e-05,1.01e-05,1.01e-05,0.10028096,0.561528958,0.005328185,0.41357529,0.01419305,0.005374517
29,Orange,3228519,31802,123,102,21,0,82,82,41,1.52e-05,2.59e-05,1.3000000000000001e-05,0.123227352,0.53478881,0.003822975,0.444446634,0.011382204,0.005559377
30,Placer,400434,2727,20,16,4,0,12,12,8,2.1e-05,3.16e-05,2.1e-05,0.09381778699999999,0.454599207,0.003313709,0.521039288,0.016793996999999998,0.004253799
31,Plumas,18997,39,0,0,0,0,0,0,0,0.0,0.0,0.0,0.100381194,0.40506216700000003,0.003463588,0.5723801070000001,0.013587921999999999,0.005506217
32,Riverside,2468145,35825,56,18,38,0,34,35,22,7.97e-06,1.47e-05,9.23e-06,0.13173111699999998,0.529846885,0.003381617,0.450425009,0.009998436,0.0063480540000000005
33,Sacramento,1567975,18593,166,110,56,0,103,103,63,4.3700000000000005e-05,6.82e-05,4.1700000000000004e-05,0.120679966,0.613562719,0.0045292579999999995,0.361067034,0.013598909,0.00724208
34,San Benito,64022,1056,0,0,0,0,0,0,0,0.0,0.0,0.0,0.11146496800000001,0.61144641,0.003156434,0.36732570200000003,0.011966701000000001,0.006104752
35,San Bernardino,2217398,36158,19,6,13,0,13,13,6,3.75e-06,6.09e-06,2.81e-06,0.12686722,0.54196022,0.004302545,0.435434475,0.010451417,0.007851343
36,San Diego,3370418,31169,494,174,320,0,282,285,201,5.3e-05,8.63e-05,6.0899999999999996e-05,0.123485737,0.6020998129999999,0.004631921,0.374557078,0.013348371999999999,0.005362817
37,San Francisco,892280,7376,36,27,9,0,22,23,13,1.84e-05,2.64e-05,1.49e-05,0.110086768,0.8525610240000001,0.006269826,0.127193368,0.007437668000000001,0.006538114
